Sample,TE,All_reads,HQ_reads
SRR5860670,PPI251,0.00,0.00
SRR5860670,Shellder,8.11,7.20
SRR5860670,Souslik,6.96,6.30
SRR5860670,spoink,31.40,25.66
SRR5860670,TIRANT,12.68,10.95
SRR5860670,Transib1,19.54,18.65
Sample,TE,All_reads,HQ_reads
SRR5860671,412,48.89,37.27
SRR5860671,BLOOD,13.41,11.42
SRR5860671,DMHFL1,10.06,8.40
SRR5860671,DMIFACA,31.57,29.52
SRR5860671,micropia,0.21,0.02
SRR5860671,OPUS,21.76,17.37
SRR5860671,PPI251,0.00,0.00
SRR5860671,Shellder,9.91,8.84
SRR5860671,Souslik,6.49,5.89
SRR5860671,spoink,26.26,21.25
SRR5860671,TIRANT,14.02,12.12
SRR5860671,Transib1,19.58,18.67
Sample,TE,All_reads,HQ_reads
SRR5860672,412,23.57,17.34
SRR5860672,BLOOD,7.22,6.17
SRR5860672,DMHFL1,7.71,6.11
SRR5860672,DMIFACA,29.91,26.50
SRR5860672,micropia,0.14,0.00
SRR5860672,OPUS,12.42,10.04
SRR5860672,PPI251,0.00,0.00
SRR5860672,Shellder,8.95,7.86
SRR5860672,Souslik,5.28,4.79
SRR5860672,spoink,26.55,21.34
SRR5860672,TIRANT,10.33,8.55
SRR5860672,Transib1,15.36,14.11
Sample,TE,All_reads,HQ_reads
SRR5860673,412,21.92,16.09
SRR5860673,BLOOD,6.80,5.89
SRR5860673,DMHFL1,8.18,6.51
SRR5860673,DMIFACA,27.12,24.15
SRR5860673,micropia,0.11,0.00
SRR5860673,OPUS,12.00,9.72
SRR5860673,PPI251,0.00,0.00
SRR5860673,Shellder,11.17,9.86
SRR5860673,Souslik,4.70,4.24
SRR5860673,spoink,21.00,16.74
SRR5860673,TIRANT,10.84,9.03
SRR5860673,Transib1,13.23,12.06
Sample,TE,All_reads,HQ_reads
SRR5860674,412,23.63,17.21
SRR5860674,BLOOD,7.25,6.21
SRR5860674,DMHFL1,8.34,6.64
SRR5860674,DMIFACA,30.69,27.46
SRR5860674,micropia,0.15,0.00
SRR5860674,OPUS,13.47,10.92
SRR5860674,PPI251,0.00,0.00
SRR5860674,Shellder,9.54,8.44
SRR5860674,Souslik,5.46,4.92
SRR5860674,spoink,26.49,22.12
SRR5860674,TIRANT,9.56,7.88
SRR5860674,Transib1,14.12,12.95
Sample,TE,All_reads,HQ_reads
SRR5860675,412,20.48,14.78
SRR5860675,BLOOD,6.85,5.90
SRR5860675,DMHFL1,8.20,6.49
SRR5860675,DMIFACA,29.69,26.50
SRR5860675,micropia,0.15,0.01
SRR5860675,OPUS,12.93,10.45
SRR5860675,PPI251,0.00,0.00
SRR5860675,Shellder,9.24,8.06
SRR5860675,Souslik,6.96,6.28
SRR5860675,spoink,30.82,24.83
SRR5860675,TIRANT,7.17,5.85
SRR5860675,Transib1,13.65,12.72
Sample,TE,All_reads,HQ_reads
SRR5860676,412,20.31,14.75
SRR5860676,BLOOD,7.17,6.15
SRR5860676,DMHFL1,9.88,7.79
SRR5860676,DMIFACA,28.37,25.15
SRR5860676,micropia,0.14,0.00
SRR5860676,OPUS,12.06,9.59
SRR5860676,PPI251,0.00,0.00
SRR5860676,Shellder,0.08,0.00
SRR5860676,Souslik,6.49,5.82
SRR5860676,spoink,0.86,0.09
SRR5860676,TIRANT,7.43,6.03
SRR5860676,Transib1,13.02,11.80

